timestamp,raw_json
20250725-133223,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.015974044799804688,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T13:30","interval":900,"temperature_2m":23.0}}"
20250725-141421,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.018835067749023438,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T14:00","interval":900,"temperature_2m":23.4}}"
20250725-151432,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.022649765014648438,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T15:00","interval":900,"temperature_2m":24.2}}"
20250725-161815,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.019550323486328125,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T16:15","interval":900,"temperature_2m":23.0}}"
20250725-171506,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.016808509826660156,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T17:15","interval":900,"temperature_2m":22.6}}"
20250725-181958,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.020265579223632812,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T18:15","interval":900,"temperature_2m":21.8}}"
20250725-191348,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.018358230590820312,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T19:00","interval":900,"temperature_2m":21.0}}"
20250725-201435,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.023245811462402344,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T20:00","interval":900,"temperature_2m":20.5}}"
20250725-211336,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.01823902130126953,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T21:00","interval":900,"temperature_2m":20.4}}"
20250725-221307,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.02396106719970703,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T22:00","interval":900,"temperature_2m":20.1}}"
20250725-231454,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.03337860107421875,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-25T23:00","interval":900,"temperature_2m":19.8}}"
20250726-010345,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.02014636993408203,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-26T01:00","interval":900,"temperature_2m":19.3}}"
20250726-032117,"{"latitude":52.52,"longitude":13.419998,"generationtime_ms":0.016570091247558594,"utc_offset_seconds":0,"timezone":"GMT","timezone_abbreviation":"GMT","elevation":38.0,"current_units":{"time":"iso8601","interval":"seconds","temperature_2m":"°C"},"current":{"time":"2025-07-26T03:15","interval":900,"temperature_2m":18.5}}"
